AirportId,AirportName,LatD,LatM,LatS,LongD,LongM,LongS
Z43,"TAMGAS HARBOR",55,04,04.7720,-131,33,25.0370
ANV,"ANVIK",62,38,50.4000,-160,11,24.2000
K40,"ANVIK",62,39,22.4060,-160,12,19.6150
ARC,"ARCTIC VILLAGE",68,06,52.8100,-145,34,45.8950
AKA,"ATKA",52,13,14.1000,-174,12,22.3000
4A2,"ATMAUTLUAK",60,52,04.4000,-162,16,27.4000
ATK,"ATQASUK EDWARD BURNELL SR MEMORIAL",70,28,01.6000,-157,26,08.4000
ATU,"CASCO COVE CGS",52,49,57.1500,-173,10,31.9950
BNF,"BARANOF WARM SPRINGS FLOAT AND SEAPLANE FLOAT",57,05,19.7730,-134,49,59.3090
BRW,"WILEY POST-WILL ROGERS MEMORIAL",71,17,05.5000,-156,46,06.9000
BTI,"BARTER ISLAND",70,06,47.2110,-143,39,12.9710
BQV,"BARTLETT COVE",58,27,18.7480,-135,53,06.6120
Z47,"BASIN CREEK",64,40,44.7250,-165,17,57.1250
AK02,"BEAR CREEK 1",65,32,23.5920,-161,03,44.5600
Z48,"BEAR CREEK 3",63,34,17.7930,-156,08,38.5820
Z52,"JOHNSONS LANDING",56,02,12.0680,-160,15,58.3390
WBQ,"BEAVER",66,21,44.0000,-147,24,23.4000
KBE,"BELL ISLAND HOT SPRINGS",55,55,44.6810,-131,34,18.0860
BLG,"BELUGA",61,10,22.6628,-151,02,43.4987
Z58,"HANGAR LAKE",60,47,48.2930,-161,43,38.2670
Z59,"BETHEL",60,46,55.2910,-161,44,35.2640
BET,"BETHEL",60,46,42.8000,-161,50,13.8000
BTT,"BETTLES",66,54,50.2000,-151,31,44.6000
2A4,"VOR LAKE WATERLANE",66,53,14.8000,-151,29,38.9000
85AK,"MARION",61,30,33.0000,-149,54,31.0000
02AA,"H & H FIELD",61,30,24.0000,-149,54,43.0000
AA01,"WEST BEAVER",61,35,05.8600,-149,50,47.5100
AA02,"HORSESHOE LAKE",61,34,17.3300,-149,55,26.8000
86AK,"HOPPE'S",61,33,05.1500,-149,56,44.7000
91AK,"KUCERA",61,34,35.0000,-149,56,36.0000
20AK,"OWEN FIELD",61,30,13.6400,-149,53,45.7600
AK86,"KRAMER",61,34,24.7400,-149,54,40.8600
08AK,"FISHER",61,34,10.7000,-149,43,27.9800
09AK,"WEST BEAVER",61,35,21.7000,-149,50,50.4000
BGQ,"BIG LAKE",61,32,04.8600,-149,48,45.1600
AK87,"TEAM LEVINE",61,30,53.5000,-149,55,44.4400
AK95,"TWIN LAKE",61,34,13.3200,-149,46,44.5400
9AK7,"CUBDIVISION",61,35,23.3900,-149,48,59.9800
63AK,"KUCERA RESIDENCE",61,35,03.5900,-149,56,17.1600
D71,"BEAVER LAKE",61,34,30.5000,-149,50,51.6000
68AK,"COWELL'S",61,30,59.6900,-149,55,51.8900
L95,"JONES LANDING",61,33,17.1800,-149,56,21.6100
AA07,"SADDLEBACK ISLAND",61,31,17.6700,-149,55,37.7000
95AK,"BROWN'S HOMESTEAD",61,28,21.4300,-149,58,56.8900
6A7,"BROCKER LAKE",61,28,54.6200,-149,46,23.6800
37AK,"BIG MOUNTAIN",59,21,40.4880,-155,15,31.7570
AA10,"EAGLES ROOST",61,31,52.0700,-149,42,03.3800
AK48,"HAGGARDS LANDING SEAPLANE BASE",61,31,40.8000,-150,00,52.8000
Z91,"BIRCH CREEK",66,16,28.1000,-145,49,05.5000
BCV,"BIRCHWOOD",61,24,57.5900,-149,30,32.1300
5BK,"BLACK RAPIDS",63,32,06.5270,-145,51,39.1900
AK97,"BOSWELL BAY",60,25,23.0310,-146,08,45.2740
BYA,"BOUNDARY",64,04,41.8900,-141,06,48.1500
KTS,"BREVIG MISSION",65,19,52.8000,-166,27,56.6000
AK98,"BUCK CREEK",65,38,19.2190,-167,29,08.9050
BVK,"BUCKLAND",65,58,53.6000,-161,08,56.9000
AK75,"CANDLE 2",65,54,27.5690,-161,55,34.7010
TTW,"CANTWELL",63,23,28.3370,-148,57,20.2190
15AK,"GOLDEN NORTH AIRFIELD",63,22,14.3400,-148,51,01.2100
CDE,"CAPE DECISION LIGHTHOUSE",56,00,07.6070,-134,08,07.2210
LUR,"CAPE LISBURNE LRRS",68,52,30.4600,-166,06,39.8950
EHM,"CAPE NEWENHAM LRRS",58,38,53.3400,-162,03,49.6900
Z71,"CAPE POLE",55,57,58.6440,-133,47,48.1960
CZF,"CAPE ROMANZOF LRRS",61,46,51.6550,-166,02,22.4750
26AK,"CAPE SARICHEF",54,34,56.7520,-164,54,52.1310
CSP,"CAPE SPENCER C G",58,11,56.6470,-136,38,19.7180
CEM,"CENTRAL",65,34,26.2000,-144,46,51.2000
CIK,"CHALKYITSIK",66,38,42.1000,-143,44,23.6000
5CD,"CHANDALAR SHELF",68,03,55.5820,-149,34,47.0610
WCR,"CHANDALAR LAKE",67,30,16.2600,-148,28,59.6000
CYM,"CHATHAM",57,30,53.7780,-134,56,46.3740
CFK,"CHEFORNAK",60,08,12.5000,-164,16,44.6000
AK13,"CHENA HOT SPRINGS",65,03,06.5720,-146,02,50.7550
C05,"CHENEGA BAY",60,04,42.8200,-147,59,41.0450
VAK,"CHEVAK",61,32,27.0400,-165,36,03.2100
48AK,"CASTLE MOUNTAIN AIRSTRIP",61,47,35.1200,-148,29,32.9860
CKX,"CHICKEN",64,04,00.3050,-141,57,04.8500
Z78,"CHIGNIK BAY",56,17,44.1980,-158,24,05.3270
KCL,"CHIGNIK LAGOON",56,18,39.4800,-158,32,04.1500
AJC,"CHIGNIK",56,18,41.2655,-158,22,23.6575
A79,"CHIGNIK LAKE",56,15,19.6450,-158,46,40.1950
CZN,"CHISANA",62,04,18.3000,-142,02,57.6600
CZO,"CHISTOCHINA",62,33,44.4000,-144,40,20.8000
CXC,"CHITINA",61,34,59.5300,-144,25,47.2900
9A3,"CHUATHBALUK",61,34,44.6000,-159,12,56.3000
AK24,"HILLTOP",61,25,04.3000,-149,26,22.1600
CRC,"CIRCLE CITY",65,49,40.5000,-144,04,34.3100
CHP,"CIRCLE HOT SPRINGS",65,29,09.2650,-144,36,42.0650
96AK,"HACKNEY LANDING",60,17,16.0200,-151,20,46.0400
CLP,"CLARKS POINT",58,50,01.3000,-158,31,45.8000
Z84,"CLEAR",64,18,01.4000,-149,06,59.5000
CLF,"CLEAR SKY LODGE",64,15,25.3230,-149,11,10.5010
KCC,"COFFMAN COVE",56,00,53.2940,-132,50,02.1210
CDB,"COLD BAY",55,12,18.9425,-162,43,28.2778
Z87,"BLINN LAKE",55,15,05.8580,-162,45,12.2560
1AK3,"PORT MOLLER",56,00,21.5490,-160,33,38.8510
CXF,"COLDFOOT",67,15,07.8000,-150,12,14.0000
KCR,"COLORADO CREEK",63,34,03.8030,-155,59,20.5570
JLA,"QUARTZ CREEK",60,29,03.3500,-149,43,22.4400
Z93,"COPPER CENTER 2",61,56,28.2840,-145,17,38.6910
CDV,"MERLE K (MUDHOLE) SMITH",60,29,30.4000,-145,28,39.2000
AK30,"STRAWBERRY POINT",60,23,28.1500,-146,05,50.8700
CKU,"CORDOVA MUNI",60,32,37.1200,-145,43,33.0750
K29,"COUNCIL",64,53,48.2900,-163,42,12.5950
CGA,"CRAIG",55,28,43.7930,-133,08,52.0840
5C5,"EL CAPITAN LODGE",55,57,30.9200,-133,15,12.1400
1AK0,"CRAIG CG",55,28,30.7930,-133,08,45.0830
1AK1,"CREVICE CREEK",67,22,22.3400,-152,00,57.8800
CJX,"CROOKED CREEK",61,52,04.4000,-158,08,05.8000
01AA,"DONLIN CREEK",62,01,56.9150,-158,14,11.0550
1AK2,"CROSSWIND LAKE",62,24,03.3910,-146,00,47.8970
DCK,"DAHL CREEK",66,56,33.2211,-156,53,28.9271
SCC,"DEADHORSE",70,11,43.9651,-148,27,56.8444
AK15,"ALPINE AIRSTRIP",70,20,39.4000,-150,56,41.1000
AK78,"BADAMI",70,08,14.8800,-147,01,49.5800
AA03,"CENTRAL PAD",70,10,16.6246,-146,15,30.8507
37AA,"POINT THOMSON AIRSTRIP",70,08,09.6000,-146,17,24.1000
4AK1,"INIGOK",70,00,13.7905,-153,04,39.2455
DEE,"DEERING",66,04,08.8000,-162,46,01.4000
BIG,"ALLEN AAF",63,59,42.5771,-145,43,12.0888
11AK,"ROCKING T RANCH",63,59,58.5810,-145,30,08.3440
D66,"DELTA JUNCTION",64,03,00.4200,-145,43,20.8750
AA22,"DELTA DAVES",64,07,58.2900,-145,48,16.1800
29AK,"REMINGTON FIELD",64,02,58.5940,-145,25,08.3700
45AK,"CHEROKEE",63,57,42.5840,-145,28,12.3310
AK09,"WINGSONG ESTATES",64,02,58.5840,-145,30,08.3670
9AK4,"ARCTIC ANGEL",64,08,14.5000,-145,49,49.4000
AK35,"BUFFALO ROW",64,02,19.9050,-145,44,20.2100
72AK,"TROPHY LODGE",64,01,37.5920,-145,40,48.6280
AK77,"ALL WEST",63,56,29.1400,-145,25,20.0100
76AK,"POGO MINE AIRSTRIP",64,28,02.8700,-144,55,15.2100
DLG,"DILLINGHAM",59,02,40.8000,-158,30,19.8000
AK21,"NUSHAGAK",59,07,57.3000,-157,46,37.8500
0Z3,"SHANNONS POND",59,03,32.3120,-158,34,37.8840
DM2,"DIOMEDE",65,45,31.0000,-168,57,11.0000
AK23,"DRIFTWOOD BAY AIR FORCE STATION",53,58,16.0000,-166,52,38.0000
EAA,"EAGLE",64,46,41.1000,-141,08,58.6000
47AK,"HIGHLAND",61,17,33.0000,-149,31,57.0000
D72,"D&C FIRE LAKE FLYING CLUB",61,21,09.0700,-149,32,46.8600
EEK,"EEK",60,12,49.3000,-162,02,38.0000
EII,"EGEGIK",58,11,07.7650,-157,22,31.5400
KKU,"EKUK",58,48,40.2930,-158,33,31.8330
KEK,"EKWOK",59,21,24.6000,-157,28,16.1000
ERO,"ELDRED ROCK CG",58,58,15.8110,-135,14,14.5760
ELV,"ELFIN COVE",58,11,42.6630,-136,20,50.6140
ELI,"ELIM",64,36,53.9000,-162,16,13.9000
MOS,"MOSES POINT",64,41,53.4550,-162,03,26.2770
1Z9,"ELLAMAR",60,53,38.0680,-146,42,13.2910
ENM,"EMMONAK",62,47,10.1000,-164,29,26.7000
2Z1,"ENTRANCE ISLAND",57,24,43.7420,-133,26,22.1960
3AK1,"SKELTON",61,56,16.7400,-147,10,12.2900
2Z2,"EUREKA CREEK",65,10,33.2810,-150,13,13.9390
2Z3,"EVA CREEK",64,02,31.6000,-148,51,47.3000
EXI,"EXCURSION INLET",58,25,13.7950,-135,26,56.5180
2Z5,"CHENA RIVER",64,49,58.4380,-147,50,53.7300
AK28,"CHENA MARINA",64,48,50.5000,-147,55,06.8000
1AK9,"TUNDRA COPTER",64,48,55.4370,-147,51,43.7240
AK22,"LAKLOEY AIR PARK",64,49,18.0000,-147,31,18.0000
32AK,"HARDROCK FIELD",64,54,33.4300,-147,54,50.2600
25AA,"SKYFLIGHT",64,55,43.1700,-147,52,50.0600
MTF,"METRO FLD",64,48,24.4440,-147,45,44.7160
31AK,"DALRYMPLE'S",64,49,58.4680,-147,25,28.7160
AK52,"MOEN'S RANCH",64,53,20.0000,-147,32,08.1400
FBK,"LADD AAF",64,50,12.2078,-147,36,58.4046
2AK1,"BLAIR LAKE",64,21,49.4610,-147,21,49.5290
2AK2,"CLEAR CREEK",64,27,12.4510,-147,33,48.5710
AK7,"GOLD KING CREEK",64,11,53.0000,-147,55,43.0000
EIL,"EIELSON AFB",64,39,56.3200,-147,06,05.1800
83AK,"TOLOVANA HOT SPRINGS",65,15,23.4000,-148,49,48.9200
FAI,"FAIRBANKS INTL",64,48,54.4000,-147,51,23.2000
2Z6,"FALSE ISLAND",57,31,55.7560,-135,12,48.4240
KFP,"FALSE PASS",54,50,52.3000,-163,24,25.6000
0AA4,"FAREWELL",62,30,32.8000,-153,53,25.0200
TNW,"TIN CREEK",62,31,55.6400,-153,36,46.0400
FKK,"FAREWELL LAKE",62,32,32.8340,-153,37,21.0360
3Z1,"FEATHER RIVER",64,49,54.2180,-166,07,53.4800
2AK3,"FIVE FINGER CG",57,16,11.7710,-133,37,53.2250
FLT,"FLAT",62,27,09.5360,-157,59,20.6520
8AK0,"BACH HELIPAD",64,49,51.0800,-147,39,37.6400
FYU,"FORT YUKON",66,34,20.7000,-145,14,46.8000
FNR,"FUNTER BAY",58,15,15.7890,-134,53,52.4640
GBH,"GALBRAITH LAKE",68,28,46.8000,-149,29,23.7000
GAL,"EDWARD G PITKA SR",64,44,10.2000,-156,56,14.6000
GAM,"GAMBELL",63,45,59.8000,-171,43,58.0000
AK42,"ALYESKA RESORT",60,58,12.0000,-149,06,05.0000
AQY,"GIRDWOOD",60,58,08.4800,-149,07,09.6450
KGZ,"GLACIER CREEK",61,27,18.4840,-142,22,51.4230
5AK4,"SNOWSHOE LAKE AIRPORT AND SEAPLANE BASE",62,01,58.1000,-146,40,29.8800
3Z8,"GOLDEN HORN LODGE",59,44,49.3420,-158,52,29.0190
GLV,"GOLOVIN",64,33,01.6000,-163,00,25.8000
GNU,"GOODNEWS",59,07,04.3000,-161,34,25.2000
Z40,"GOOSE BAY",61,23,40.7400,-149,50,32.1700
GSZ,"GRANITE MOUNTAIN AS",65,24,07.6800,-161,16,53.3100
KGX,"GRAYLING",62,53,31.5071,-160,03,59.0288
GKN,"GULKANA",62,09,17.8000,-145,27,15.6000
8AK1,"JACOBUS FIELD",62,16,49.0200,-145,21,45.9600
GST,"GUSTAVUS",58,25,31.0000,-135,42,26.7000
HNS,"HAINES",59,14,37.7850,-135,31,24.7350
18AA,"18 MEADOWS AERODROME",59,18,47.6000,-135,43,23.6000
AA35,"35 MILE LODGE",59,26,15.2000,-136,13,45.7000
3Z9,"HAINES",59,14,05.8240,-135,26,26.5850
0AA6,"BIG SALMON",59,24,11.0000,-136,00,49.0000
AK74,"UPPER HANNUM CREEK",65,54,17.4890,-163,19,44.7330
HWI,"HAWK INLET",58,07,38.7890,-134,45,21.4310
HRR,"HEALY RIVER",63,52,03.3000,-148,58,07.8000
7AK7,"ERA DENALI",63,44,18.3550,-148,52,54.2990
AK33,"HERENDEEN BAY",55,48,05.0220,-160,53,57.3160
2AK5,"JOHNSTONE POINT",60,28,54.0300,-146,35,03.3090
2AK6,"HOG RIVER",66,10,34.0800,-155,41,05.3400
HYL,"CLARK BAY",55,29,25.5000,-132,37,24.8000
HCA,"HOLY CROSS",62,11,17.9000,-159,46,29.8000
HOM,"HOMER",59,38,41.9854,-151,29,08.9105
5BL,"HOMER-BELUGA LAKE",59,38,29.6000,-151,31,16.0600
AK17,"GLACIERVIEW STRIP",59,45,48.8330,-151,13,23.6710
AK18,"CAMP POINT",59,49,42.7770,-153,04,50.9690
2AK4,"BOOTLEGGERS COVE",59,28,12.0000,-151,30,45.0000
98AK,"EASTLAND",59,46,33.0300,-151,10,53.8700
4AA4,"SOUTH PENINSULA HOSPITAL",59,39,08.1400,-151,33,00.0000
46AK,"BEAR COVE FARM",59,44,17.8400,-151,01,47.6190
0AK7,"BRADLEY LAKE HYDROELECTRIC PROJECT AIRSTRIP",59,46,33.8500,-150,57,30.6500
OOH,"HOONAH",58,06,43.7740,-135,27,06.4980
HNH,"HOONAH",58,05,46.3170,-135,24,31.5225
HPB,"HOOPER BAY",61,31,25.9000,-166,08,47.8000
5HO,"HOPE",60,54,26.1450,-149,37,22.1250
4Z5,"HORSFELD",62,00,26.0400,-141,10,55.6100
13AK,"SATTERBERGS",61,39,16.9200,-149,54,00.0000
AK29,"REIDS LANDING",61,36,45.3600,-149,51,08.2100
AK89,"BLACK SPRUCE",61,39,22.7100,-149,53,12.2000
AA33,"GUS LANDING",61,36,14.9400,-149,46,12.4300
AA30,"TRIO ESTATES",61,38,53.4800,-149,52,14.9900
80AK,"MORVRO LAKE",61,36,07.0900,-149,47,03.0500
HUS,"HUGHES",66,02,20.7000,-154,15,52.9000
HLA,"HUSLIA",65,41,52.3000,-156,21,05.0000
HYG,"HYDABURG",55,12,22.7380,-132,49,41.9270
4Z7,"HYDER",55,54,11.9510,-130,00,24.1310
19AK,"ICY BAY",59,58,08.4680,-141,39,42.3730
2AK8,"ICY CAPE AFS",70,17,32.9610,-161,54,12.0030
IGG,"IGIUGIG",59,19,26.5500,-155,54,06.3820
ILI,"ILIAMNA",59,45,20.0812,-154,55,03.9081
2AK9,"INDEPENDENCE CREEK",65,40,24.5180,-162,27,50.6260
KIB,"IVANOF BAY",55,53,51.1200,-159,29,19.2080
4Z9,"JAKOLOF BAY",59,27,07.7780,-151,31,20.5720
AK60,"FORT JENSEN",57,53,06.3590,-157,05,48.5530
JNU,"JUNEAU INTL",58,21,16.9625,-134,34,42.4939
AK94,"ALASCOM/COASTAL LENA POINT",58,23,26.8100,-134,46,36.4800
AA44,"BARLETT REGIONAL HOSPITAL",58,19,43.3300,-134,27,56.5600
5Z1,"JUNEAU HARBOR",58,17,56.0000,-134,24,28.0000
73AK,"YANKEE COVE",58,35,30.0000,-134,54,00.0000
18AK,"NORTH DOUGLAS",58,19,55.8250,-134,29,49.3920
KAE,"KAKE",56,58,22.7870,-133,56,44.2130
AFE,"KAKE",56,57,40.9050,-133,54,36.9400
8AK7,"BULLEN POINT AIR FORCE STATION",70,10,22.0000,-146,50,10.0000
1KC,"KALAKAKET CREEK AS",64,25,28.0100,-156,50,36.0200
KLG,"KALSKAG",61,32,09.5000,-160,20,44.1000
KAL,"KALTAG",64,19,08.3280,-158,44,28.7010
5Z4,"ANS HOSPITAL",59,00,06.3100,-158,31,56.8720
5Z5,"KANTISHNA",63,32,27.5500,-150,59,42.2800
Z90,"STAMPEDE",63,45,04.3400,-150,19,48.9500
KYK,"KARLUK",57,33,57.8000,-154,27,13.7000
KKL,"KARLUK LAKE",57,22,01.3290,-154,01,39.3280
KXA,"KASAAN",55,32,14.6900,-132,23,51.0520
Z09,"KASIGLUK",60,52,24.0000,-162,31,27.5000
5KS,"KASILOF",60,21,01.8750,-151,15,46.2830
AK5,"ENCELEWSKI LAKE",60,15,20.0000,-151,18,11.0000
5Z9,"LAKE BROOKS",58,33,17.4350,-155,46,38.5950
RK1,"KAVIK STRIP",69,40,36.3950,-146,54,00.1650
ENA,"KENAI MUNI",60,34,23.8000,-151,14,41.4000
3AK5,"DRIFT RIVER",60,35,19.9230,-152,09,43.1180
8AK2,"CARTY'S AIRSTRIP",60,42,09.0000,-151,17,39.0000
2R3,"ISLAND LAKE",60,42,15.9700,-151,18,41.0500
30AK,"DOYLE ESTATES",60,30,09.9300,-151,15,36.0100
3AK4,"JOHNSON",60,37,56.9600,-151,20,24.0480
2VI2,"REDOUBT VIEW SEAPLANE BASE",60,25,08.5400,-152,21,17.6100
6AK3,"BUTLER AVIATION",60,43,45.9860,-151,16,41.0460
03AK,"JOE CLOUDS",60,43,38.0000,-151,07,58.0000
75AK,"HENLEY",60,35,35.0400,-151,19,40.6400
82AK,"PRL LOGISTICS",60,31,46.2954,-151,15,24.2570
0AA7,"KALIFONSKY MEADOWS",60,29,29.5400,-151,14,06.9100
9C0,"PENINSULA POINT PULLOUT",55,23,04.7420,-131,44,18.0680
17AK,"KETCHIKAN /TEMSCO H/",55,22,58.7430,-131,44,06.0660
KTN,"KETCHIKAN INTL",55,21,14.7000,-131,42,40.4000
5KE,"KETCHIKAN HARBOR",55,20,40.0700,-131,39,48.3800
8K9,"MURPHYS PULLOUT",55,23,22.7410,-131,44,17.0670
8AK4,"MCCUES",55,22,02.9400,-131,42,56.9200
3AK0,"WOLFE POINT",55,21,45.0000,-131,42,34.0000
IAN,"BOB BAKER MEMORIAL",66,58,33.4000,-160,26,11.5000
KVC,"KING COVE",55,06,58.8500,-162,15,58.4900
AKN,"KING SALMON",58,40,35.3765,-156,38,55.2876
IIK,"KIPNUK",59,55,53.8000,-164,01,41.2000
KKB,"KITOI BAY",58,11,27.4060,-152,22,13.7550
KVL,"KIVALINA",67,44,10.1000,-164,33,48.6000
AQC,"KLAWOCK",55,33,16.7670,-133,06,06.0940
AKW,"KLAWOCK",55,34,45.2400,-133,04,33.5900
OBU,"KOBUK",66,54,44.4000,-156,53,50.4000
KDK,"KODIAK MUNI",57,48,21.3030,-152,22,25.8290
9Z3,"KODIAK /LILLY LAKE/",57,48,09.3020,-152,22,57.8340
ADQ,"KODIAK",57,44,59.8800,-152,29,37.6600
T44,"TRIDENT BASIN",57,46,51.0000,-152,23,29.0000
9K2,"KOKHANOK",59,25,59.8300,-154,48,09.3300
JZZ,"KOLIGANEK",59,43,36.3000,-157,15,36.9000
DUY,"KONGIGANAK",59,57,41.8710,-162,52,50.1380
2A9,"KOTLIK",63,01,50.1000,-163,31,57.5000
OTZ,"RALPH WIEN MEMORIAL",66,53,05.3000,-162,35,53.3000
KKA,"KOYUK ALFRED ADAMS",64,56,22.3000,-161,09,15.4000
KYU,"KOYUKUK",64,52,32.9000,-157,43,49.6000
LKK,"KULIK LAKE",58,57,54.0200,-155,05,44.2050
UBW,"UGNU-KUPARUK",70,19,50.4000,-149,35,53.0000
27AK,"PAD-66",70,20,34.9500,-149,35,20.6300
AA38,"NIKAITCHUQ OPERATIONS CENTER",70,28,56.9300,-149,51,11.6400
AA51,"SPY ISLAND DRILL-SITE",70,33,22.5000,-149,54,37.9000
KWT,"KWETHLUK",60,47,25.2000,-161,26,37.3000
GGV,"KWIGILLINGOK",59,52,32.1050,-163,10,04.9350
Z55,"LAKE LOUISE",62,17,29.8250,-146,34,38.4600
13S,"LAKE LOUISE",62,16,58.2790,-146,31,07.9210
AK80,"RED CREEK",62,17,28.0000,-147,24,25.0000
2A3,"LARSEN BAY",57,32,06.3000,-153,58,36.0000
9Z9,"LAWING",60,24,42.7850,-149,22,09.6300
ALZ,"ALITAK",56,53,58.1540,-154,14,52.2480
9Z8,"LEVELOCK",59,07,37.5000,-156,51,35.6000
2AK,"LIME VILLAGE",61,21,32.8700,-155,26,25.3900
AK53,"STONY MOUNTAIN LODGE",61,15,25.5210,-153,47,52.3790
4AK,"LIVENGOOD CAMP",65,28,02.1700,-148,39,13.4900
AK71,"LONELY AS",70,54,38.6830,-153,14,31.9740
4AK3,"LONG LAKE",61,22,40.3770,-143,19,33.4500
13Z,"LORING",55,36,04.7010,-131,38,12.0590
15Z,"MCCARTHY",61,26,16.1487,-142,54,09.0108
AK31,"SWIFT CREEK",61,24,40.4080,-143,00,04.4460
0AK8,"FIREWEED",61,25,36.7600,-142,58,43.8000
AK0,"JAKES BAR",61,13,07.9400,-142,53,28.3600
56AK,"HINKES",62,32,43.4000,-154,00,07.6000
MCG,"MC GRATH",62,57,10.0221,-155,36,25.3730
AK40,"NIXON FORK MINE",63,13,45.0500,-154,45,37.2100
16Z,"MC GRATH",62,57,28.7460,-155,35,35.4450
INR,"MC KINLEY NATIONAL PARK",63,43,57.3540,-148,54,38.2980
AK06,"DENALI",63,38,42.3580,-148,47,53.2700
4AK5,"MANKOMEN LAKE",62,59,23.5760,-144,28,47.9960
MLY,"MANLEY HOT SPRINGS",64,59,16.6000,-150,38,51.3000
MBA,"MANOKOTAK",58,55,55.4000,-158,54,06.8000
MDM,"MARSHALL DON HUNTER SR",61,51,51.0000,-162,01,34.0000
MYK,"MAY CREEK",61,20,10.1800,-142,41,09.1900
0AK5,"YOUNG CREEK",61,21,23.4500,-142,44,00.4000
24AK,"TOAD LAKE STRIP",61,36,56.7000,-149,42,24.9500
MYU,"MEKORYUK",60,22,20.6000,-166,16,12.7000
MTM,"METLAKATLA",55,07,51.7630,-131,34,41.0430
84K,"MEYERS CHUCK",55,44,22.6900,-132,15,18.0660
MDO,"MIDDLETON ISLAND",59,26,59.7970,-146,18,26.0660
MHM,"MINCHUMINA",63,53,09.5000,-152,18,06.6000
51Z,"MINTO AL WRIGHT",65,08,53.4000,-149,22,06.9000
0AK3,"PARKER LAKE",62,02,05.3700,-150,29,27.7600
99AK,"MOORE CREEK",62,35,56.5540,-157,09,06.5010
52Z,"SUMMIT LAKE",60,38,27.8920,-149,29,49.6840
KMY,"MOSER BAY",57,01,32.1080,-154,08,45.3070
MOU,"MOUNTAIN VILLAGE",62,05,41.2000,-163,40,58.3000
IBN,"DEVILS MOUNTAIN LODGE",62,24,06.6460,-142,59,43.6850
76Z,"NAKEEN",58,55,39.3780,-157,02,49.7480
5NK,"NAKNEK",58,44,04.7863,-157,01,30.7575
4AK9,"TIBBETTS",58,44,03.3710,-157,00,25.7110
78Z,"NANCY LAKE",61,42,11.9500,-150,00,25.7000
KEB,"NANWALEK",59,21,07.7340,-151,55,30.5610
